instagram_handle,followers,last_post_date,website_status,contact_method,priority_status,location,notes
@villapromobalibycatur,10.1K,unverified,basic,WhatsApp,✅ PRIORITY,Bali-wide,"Villa Promo Bali; WhatsApp visible; private pool villa rental agency."
@villamurahbali_,25.0K,unverified,basic,WhatsApp,✅ PRIORITY,Bali-wide,"Luxury Bali villa rental account; WhatsApp booking link visible."
@balimanagementvillas,13.8K,unverified,basic,DM / Linktree,✅ PRIORITY,Bali-wide,"Villa management agency; Linktree-style booking/info funnel."
@sandaramanagement,8.9K,unverified,basic,DM / WhatsApp likely,✅ PRIORITY,"Berawa / Canggu / Pererenan / Uluwatu","Villa rental/management account in target areas."
@greatbalivillas,33.2K,unverified,basic,DM / managed links,✅ PRIORITY,Bali-wide,"Curated/managed luxury villa account; hand-selected villas."
@villa_besar,8.9K,unverified,basic / unclear,DM,✅ PRIORITY,"Seminyak / Canggu","Affordable-luxury villa collection between Seminyak and Canggu."
@bohemecanggu,20.1K,unverified,none / basic unclear,DM,✅ PRIORITY,Canggu,"Boutique Canggu aesthetic; website/contact funnel not clearly confirmed."
@aeeravilla,14.2K,unverified,basic,contact page / DM,⚠️ MAYBE,Canggu,"Private pool villa in Canggu; basic direct-booking contact funnel."
@terataicanggu,11.7K,unverified,basic,contact page / DM,⚠️ MAYBE,Canggu,"Luxury exotic villa in Canggu; private pool and in-room services."
@cyrusvillabali,22.4K,unverified,basic,contact page,⚠️ MAYBE,Seminyak,"Moroccan-styled romantic luxury villa; basic contact page."
@lavievillabali,32.9K,unverified,basic,contact page,⚠️ MAYBE,Seminyak,"Tropical romantic private pool villa; basic contact page."
@sanavievilla,30.6K,unverified,basic,contact page,⚠️ MAYBE,Seminyak,"Luxury romantic private pool villas; basic contact page."
@alevavilla,25.6K,unverified,basic,contact page,⚠️ MAYBE,Seminyak,"Private pool villa by Ini Vie Hospitality; basic contact funnel."
@aksariseminyak,35.4K,unverified,basic,contact page,⚠️ MAYBE,Seminyak,"Honeymoon/private pool villa; basic contact page."
@ayonavilla,31.3K,unverified,basic,contact page,⚠️ MAYBE,Bali,"Luxury villa account; basic/contact-style funnel indicated."
@sahanavillas,16.5K,unverified,basic / Linktree,DM / Linktree,⚠️ MAYBE,Seminyak,"Five 3-bedroom private pool villas; Linktree-style funnel."
@saudaravillasbali,15.0K,unverified,good,website / contact form,❌ SKIP,Seminyak,"Family-friendly villa brand with full website/contact pages."
@thesamayaseminyak,16.8K,unverified,good,website,❌ SKIP,Seminyak,"Luxury beachfront resort with mature website."
@biubiuresortbali,33.2K,unverified,good / basic resort site,website / DM,❌ SKIP,"Balangan / Uluwatu area","Cliff-front resort; has resort web presence."
@shortstaybali,18.3K,unverified,good / listing site,website / WhatsApp,❌ SKIP,Bali-wide,"Villa rental/listing operator with established booking site."
