Business name,Phone number,WhatsApp link,Address,HAS_WEBSITE,Google Maps URL,Rating,Search query used
Ac Bali,+62819-7986-4848,https://wa.me/6281979864848,"Perumahan taman mulia, Jl. Dolphin No.2, Jimbaran, South Kuta, Badung Regency, Bali 80361, Indonesia",NO,https://www.google.com/maps?cid=12168558475490000274,5.000000,AC service Bali
BRAM SERVICE AC MOBIL,+62812-3825-885,https://wa.me/628123825885,"Jl. Narakusuma No.36, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali 80235, Indonesia",NO,https://www.google.com/maps?cid=912232128536119373,4.700000,AC service Bali
CV NUSANTARA JAYA AIRCONDITIONER,+62821-4491-3267,https://wa.me/6282144913267,"Jl. Raya Canggu No.84, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",NO,https://www.google.com/maps?cid=2352964507875452652,4.600000,AC service Bali
DEWA AC Spesialis Ac Mobil Bergaransi,+62819-9997-8600,https://wa.me/6281999978600,"Jl. Bukit Tunggal No.46, Pemecutan, Denpasar Barat, Denpasar City, Bali 80111, Indonesia",NO,https://www.google.com/maps?cid=17614301529652265745,4.600000,AC service Bali
Dewata Jaya AC Service,+62858-8883-1999,https://wa.me/6285888831999,"Gg. Menesa No.3, Ungasan, South Kuta, Badung Regency, Bali 80361, Indonesia",NO,https://www.google.com/maps?cid=6615775239430831560,5.000000,AC service Bali
Mesari Teknik AC Solution,+62819-3309-6703,https://wa.me/6281933096703,"Jl. Anggrek I No.10, Kapal, Mengwi, Badung Regency, Bali 80351, Indonesia",NO,https://www.google.com/maps?cid=17496922058266458431,5.000000,AC service Bali
Service Ac,+62852-3718-9680,https://wa.me/6285237189680,"Jl. Tukad Yeh Aya No.68a, densel, Denpasar Selatan, Kota Denpasar, Bali 80111, Indonesia",NO,https://www.google.com/maps?cid=8034404613068038332,4.600000,AC service Bali
SERVICE AC DENPASAR - GIANYAR BALI,+62878-6161-5259,https://wa.me/6287861615259,,NO,https://www.google.com/maps?cid=11976424097601831683,4.700000,AC service Bali
Service ac denpasar bali,+62878-7771-6400,https://wa.me/6287877716400,"Jl. Taman baruna block, Jl. Kecubung No.52, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",NO,https://www.google.com/maps?cid=13263009125936203054,4.900000,AC service Bali
Servis Ac Bali,+62813-9050-3551,https://wa.me/6281390503551,"864H+9GX, Jl. Tukad Petanu, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80225, Indonesia",NO,https://www.google.com/maps?cid=14303773174726444718,4.800000,AC service Bali
TUKANG AC DENPASAR PASUNTEK,+62821-4563-1817,https://wa.me/6282145631817,"Gg. Walet No.15c, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80114, Indonesia",NO,https://www.google.com/maps?cid=10760221199580981410,4.900000,AC service Bali
Anisa Jaya Meubel,+62813-3631-4242,https://wa.me/6281336314242,"Jl. Denpasar-Singaraja No.Br, Sayan Baleran, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",NO,https://www.google.com/maps?cid=2850417706249764530,5.000000,carpenter Bali
Dirman Carpenters,+62831-2927-3839,https://wa.me/6283129273839,"75WV+HJ8, Gg. Masruri I, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221, Indonesia",NO,https://www.google.com/maps?cid=7778679969655246016,5.000000,carpenter Bali
Furniture and carpenter,+62813-1213-4939,https://wa.me/6281312134939,"Jl. Mandala Sari, renon, Kec. Denpasar Tim., Kota Denpasar, Bali 80234, Indonesia",NO,https://www.google.com/maps?cid=6801500151317602763,0.000000,carpenter Bali
Jati Guwi Carpenter,+62852-3804-4775,https://wa.me/6285238044775,"Jl. Persada II gang kelinci, Kerobokan Kelod, Kec. Denpasar Bar., Kabupaten Badung, Bali 80117, Indonesia",NO,https://www.google.com/maps?cid=2948891139586357560,5.000000,carpenter Bali
MGM Bali Carpenter,+62361728381,https://wa.me/62361728381,"Jl. Bypass Ngurah Rai No.90, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali, Indonesia",NO,https://www.google.com/maps?cid=14123235021505596818,4.700000,carpenter Bali
Mulyadi carpenter,+62853-3849-3195,https://wa.me/6285338493195,"94RR+849, Jl. Raya Munggu-Kapal, Cepaka, Kec. Kediri, Kabupaten Tabanan, Bali 80363, Indonesia",NO,https://www.google.com/maps?cid=12140277825635459363,5.000000,carpenter Bali
QuitoArtBali Woodworking Project,,,"Jl. Subita Gg. VII No.4, Sumerta Kaja, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia",NO,https://www.google.com/maps?cid=18114446719803758244,5.000000,carpenter Bali
YOYO CARPENTER 1,+62813-3799-1849,https://wa.me/6281337991849,"856H+Q29, Jl. Gn. Athena, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia",NO,https://www.google.com/maps?cid=7620773467255517461,5.000000,carpenter Bali
Yoyo Carpenter2,+62812-3673-8781,https://wa.me/6281236738781,"Jl. Kunti II No.1002, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",NO,https://www.google.com/maps?cid=16398717179072287038,5.000000,carpenter Bali
Catering Kita Bali,+62811-3955-503,https://wa.me/628113955503,"Jl. Suli No.25, Dangin Puri Kangin, Denpasar Utara, Denpasar City, Bali 80233, Indonesia",NO,https://www.google.com/maps?cid=1086375468230927186,4.300000,catering Bali
CateringBali.com,+62821-4567-0077,https://wa.me/6282145670077,"Jl. Akasia V No. 18 U, Sumerta, East Denpasar, Denpasar City, Bali 80235, Indonesia",NO,https://www.google.com/maps?cid=6334838580724656054,4.800000,catering Bali
